,BIN_LO,BIN_HI,COUNTS,ERR,A,eV
0,0.295482,0.29551700000000003,0.0,1.70744,41.95749820098077,295.4995
1,0.29551700000000003,0.295552,0.0,1.7059900000000001,41.9525291958831,295.53450000000004
2,0.295552,0.295588,0.0,1.7059900000000001,41.94749040714794,295.57
3,0.295588,0.295623,0.0,1.70455,41.942452828654126,295.6055
4,0.295623,0.295658,0.0,1.70455,41.9374873863382,295.6405
5,0.295658,0.295693,0.0,1.70455,41.93252311957101,295.6755
6,0.295693,0.295729,0.0,1.70455,41.92748913513775,295.711
7,0.295729,0.29576399999999997,0.0,1.70455,41.92245635921547,295.7465
8,0.29576399999999997,0.295799,0.0,1.70311,41.917495650136054,295.7815
9,0.295799,0.29583400000000004,0.0,1.70311,41.912536114925025,295.8165
10,0.29583400000000004,0.29586999999999997,0.0,1.70167,41.90750692792585,295.852
11,0.29586999999999997,0.29590500000000003,0.0,1.70311,41.90247894771059,295.8875
12,0.29590500000000003,0.29594000000000004,0.0,1.70167,41.89752296510308,295.9225
13,0.29594000000000004,0.295976,0.0,1.7002400000000002,41.89249738017123,295.958
14,0.295976,0.296011,0.0,1.70167,41.8874730007271,295.99350000000004
15,0.296011,0.29604600000000003,0.0,1.7002400000000002,41.882520566907296,296.0285
16,0.29604600000000003,0.296082,0.0,1.7002400000000002,41.877498580174276,296.064
17,0.296082,0.296117,0.0,1.69881,41.87247779763463,296.09950000000003
18,0.296117,0.29615199999999997,0.0,1.7002400000000002,41.86752890879219,296.13449999999995
19,0.29615199999999997,0.296188,0.0,1.69881,41.862510516395034,296.17
20,0.296188,0.296223,0.0,1.69881,41.85749332689878,296.20550000000003
21,0.296223,0.296259,0.0,1.6973799999999999,41.85247733987097,296.241
22,0.296259,0.296294,0.0,1.6973799999999999,41.84746255487937,296.2765
23,0.296294,0.296329,0.0,1.6973799999999999,41.84251957700162,296.3115
24,0.296329,0.296365,0.0,1.6973799999999999,41.8375071778716,296.34700000000004
25,0.296365,0.2964,0.0,1.69595,41.832495979488385,296.3825
26,0.2964,0.29643600000000003,0.0,1.69595,41.82748598142056,296.418
27,0.29643600000000003,0.296471,0.0,1.69595,41.822477183236884,296.4535
28,0.296471,0.296506,0.0,1.69452,41.81754010574008,296.4885
29,0.296506,0.29654200000000003,0.0,1.69595,41.812533689147315,296.524
